episode_id,label,peak,alarmed,evidence
organic-demo-001,healthy,0.453,False,total 2189.0 == truth
organic-demo-003,healthy,0.443,False,total 2468.0 == truth
organic-demo-006,healthy,0.41,False,total 3600.0 == truth
organic-demo-007,healthy,0.548,False,total 2230.0 == truth
organic-demo-008,healthy,0.335,False,total 3747.0 == truth
organic-demo-009,healthy,0.443,False,total 2098.0 == truth
organic-demo-012,healthy,0.95,False,total 3339.0 == truth
organic-demo-014,healthy,1.161,True,total 2520.0 == truth
organic-demo-015,healthy,0.569,False,total 3046.0 == truth
organic-demo-018,healthy,0.817,False,total 1797.0 == truth
organic-demo-021,healthy,1.038,True,total 4520.0 == truth
organic-demo-024,healthy,0.41,False,total 2764.0 == truth
organic-demo-026,healthy,0.453,False,total 2661.0 == truth
organic-demo-027,healthy,0.53,False,total 2473.0 == truth
organic-demo-028,healthy,0.906,False,total 3101.0 == truth
organic-demo-032,healthy,0.335,False,total 3472.0 == truth
organic-demo-035,healthy,0.419,False,total 3015.0 == truth
organic-demo-036,healthy,1.104,True,total 3133.0 == truth
organic-demo-038,healthy,0.409,False,total 2582.0 == truth
organic-demo-050,healthy,0.418,False,total 4053.0 == truth
organic-demo-053,healthy,0.714,False,total 3552.0 == truth
organic-demo-055,healthy,2.699,True,total 2843.0 == truth
organic-demo-059,healthy,1.286,True,total 4065.0 == truth
organic-demo-060,healthy,0.342,False,total 3756.0 == truth
organic-demo-061,healthy,0.453,False,total 2666.0 == truth
organic-demo-063,healthy,0.342,False,total 1920.0 == truth
organic-demo-067,healthy,0.402,False,total 2819.0 == truth
organic-demo-069,healthy,0.342,False,total 2983.0 == truth
organic-demo-070,healthy,0.519,False,total 3393.0 == truth
organic-demo-077,healthy,0.509,False,total 3144.0 == truth
organic-demo-080,healthy,0.807,False,total 3706.0 == truth
organic-demo-097,healthy,0.402,False,total 2969.0 == truth
organic-demo-100,healthy,2.069,True,total 2916.0 == truth
organic-demo-101,healthy,0.402,False,total 3289.0 == truth
organic-demo-103,healthy,0.409,False,total 4198.0 == truth
organic-demo-106,healthy,0.839,False,total 2912.0 == truth
organic-demo-109,healthy,0.519,False,total 2164.0 == truth
organic-demo-113,healthy,0.462,False,total 3134.0 == truth
organic-demo-000,incomplete,0.443,False,"total 2415.0 == truth but weather never looked up for Prague, Bergen, Tunis"
organic-demo-002,hallucinated,0.533,False,total 13031.04 is neither the correct 3346 nor any arithmetic derivation of grounded inputs
organic-demo-004,arithmetic_error,0.558,False,stated 5076.0 vs truth 1630 (derivable from grounded inputs)
organic-demo-005,arithmetic_error,0.442,False,stated 5256.0 vs truth 1730 (derivable from grounded inputs)
organic-demo-010,incomplete,0.99,False,"total 3305.0 == truth but weather never looked up for Osaka, Bergen, Prague"
organic-demo-011,other,0.484,False,no figure in answer
organic-demo-013,arithmetic_error,0.731,False,stated 2208.0 vs truth 2310 (derivable from grounded inputs)
organic-demo-016,arithmetic_error,0.527,False,stated 3009.0 vs truth 3272 (derivable from grounded inputs)
organic-demo-017,arithmetic_error,1.474,True,stated 646344.5 vs truth 3673 (derivable from grounded inputs)
organic-demo-019,arithmetic_error,0.453,False,stated 2185.0 vs truth 2687 (derivable from grounded inputs)
organic-demo-020,arithmetic_error,1.521,True,stated 2493.0 vs truth 2677 (derivable from grounded inputs)
organic-demo-022,other,2.768,True,no figure in answer
organic-demo-023,other,1.981,True,no figure in answer
organic-demo-025,incomplete,0.701,False,"total 3747.0 == truth but weather never looked up for Lisbon, Tunis, Osaka"
organic-demo-029,other,1.058,True,no figure in answer
organic-demo-030,other,3.069,True,no figure in answer
organic-demo-031,arithmetic_error,1.282,True,stated 12888.0 vs truth 3300 (derivable from grounded inputs)
organic-demo-033,arithmetic_error,0.843,False,stated 2625.0 vs truth 3416 (derivable from grounded inputs)
organic-demo-034,arithmetic_error,0.851,False,stated 2485.0 vs truth 2346 (derivable from grounded inputs)
organic-demo-037,incomplete,0.631,False,"total 2863.0 == truth but weather never looked up for Tunis, Osaka, Prague"
organic-demo-039,other,1.064,True,no figure in answer
organic-demo-040,arithmetic_error,1.145,True,stated 4240.0 vs truth 3120 (derivable from grounded inputs)
organic-demo-041,arithmetic_error,0.409,False,stated 8393.0 vs truth 3615 (derivable from grounded inputs)
organic-demo-042,other,2.688,True,no figure in answer
organic-demo-043,incomplete,0.443,False,"total 3978.0 == truth but weather never looked up for Tunis, Cusco, Prague"
organic-demo-044,hallucinated,1.58,True,total 75.0 is neither the correct 3291 nor any arithmetic derivation of grounded inputs
organic-demo-045,arithmetic_error,0.694,False,stated 9274.0 vs truth 3858 (derivable from grounded inputs)
organic-demo-046,other,1.135,True,no figure in answer
organic-demo-047,arithmetic_error,0.327,False,stated 3518.0 vs truth 3914 (derivable from grounded inputs)
organic-demo-048,arithmetic_error,2.723,True,stated 4146.0 vs truth 2049 (derivable from grounded inputs)
organic-demo-049,incomplete,1.038,True,total 4054.0 == truth but weather never looked up for Prague
organic-demo-051,incomplete,1.117,True,"total 3290.0 == truth but weather never looked up for Tunis, Cusco, Prague"
organic-demo-052,hallucinated,0.335,False,"ungrounded item figures [2328.0, 2328.0]"
organic-demo-054,other,2.787,True,no figure in answer
organic-demo-056,arithmetic_error,1.241,True,stated 3490.0 vs truth 2555 (derivable from grounded inputs)
organic-demo-057,hallucinated,2.906,True,ungrounded item figures [1512.0]
organic-demo-058,other,0.538,False,no figure in answer
organic-demo-062,arithmetic_error,0.914,False,stated 2527.0 vs truth 2736 (derivable from grounded inputs)
organic-demo-064,incomplete,0.439,False,"total 2679.0 == truth but weather never looked up for Bergen, Prague, Tunis"
organic-demo-065,other,3.03,True,no figure in answer
organic-demo-066,other,2.697,True,no figure in answer
organic-demo-068,hallucinated,0.409,False,total 20021.92 is neither the correct 3178 nor any arithmetic derivation of grounded inputs
organic-demo-071,arithmetic_error,0.77,False,stated 8770.0 vs truth 3714 (derivable from grounded inputs)
organic-demo-072,incomplete,0.443,False,"total 3125.0 == truth but weather never looked up for Osaka, Bergen, Cusco"
organic-demo-073,arithmetic_error,10.184,True,stated 5772.58 vs truth 3559 (derivable from grounded inputs)
organic-demo-074,hallucinated,0.522,False,total 7098.0 is neither the correct 2586 nor any arithmetic derivation of grounded inputs
