framework,dataset,episode_id,is_healthy,failure_class,tau,T,alarm_step,outcome,delay,lead,budget_saved_frac
langgraph,langgraph7b_real2,langgraph-real-healthy-088,True,,,5,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-004,True,,,7,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-062,True,,,5,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-066,True,,,4,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-117,True,,,10,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-109,True,,,7,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-076,True,,,7,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-010,True,,,6,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-067,True,,,8,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-001,True,,,8,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-090,True,,,7,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-055,True,,,7,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-057,True,,,10,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-036,True,,,7,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-053,True,,,7,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-115,True,,,7,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-033,True,,,7,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-056,True,,,6,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-110,True,,,6,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-118,True,,,5,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-029,True,,,8,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-011,True,,,7,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-093,True,,,9,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-healthy-091,True,,,7,,correct_silence,,,
langgraph,langgraph7b_real2,langgraph-real-context_corruption-001,False,context_corruption,2.0,12,5.0,true_alarm,3.0,6.0,0.5454545454545454
langgraph,langgraph7b_real2,langgraph-real-looping-004,False,looping,3.0,7,5.0,true_alarm,2.0,1.0,0.16666666666666666
langgraph,langgraph7b_real2,langgraph-real-tool_cascade-001,False,tool_cascade,3.0,8,7.0,true_alarm,4.0,0.0,0.0
langgraph,langgraph7b_real2,langgraph-real-looping-001,False,looping,2.0,11,3.0,true_alarm,1.0,7.0,0.7
langgraph,langgraph7b_real2,langgraph-real-tool_cascade-005,False,tool_cascade,3.0,8,6.0,true_alarm,3.0,1.0,0.14285714285714285
langgraph,langgraph7b_real2,langgraph-real-context_corruption-003,False,context_corruption,2.0,12,5.0,true_alarm,3.0,6.0,0.5454545454545454
langgraph,langgraph7b_real2,langgraph-real-tool_cascade-003,False,tool_cascade,5.0,7,,miss,,,
langgraph,langgraph7b_real2,langgraph-real-looping-005,False,looping,3.0,9,5.0,true_alarm,2.0,3.0,0.375
langgraph,langgraph7b_real2,langgraph-real-tool_cascade-002,False,tool_cascade,2.0,5,,miss,,,
langgraph,langgraph7b_real2,langgraph-real-looping-000,False,looping,2.0,10,4.0,true_alarm,2.0,5.0,0.5555555555555556
langgraph,langgraph7b_real2,langgraph-real-tool_cascade-000,False,tool_cascade,2.0,4,,miss,,,
langgraph,langgraph7b_real2,langgraph-real-looping-002,False,looping,2.0,7,4.0,true_alarm,2.0,2.0,0.3333333333333333
langgraph,langgraph7b_real2,langgraph-real-goal_drift-004,False,goal_drift,3.0,7,,miss,,,
langgraph,langgraph7b_real2,langgraph-real-goal_drift-000,False,goal_drift,2.0,4,,miss,,,
langgraph,langgraph7b_real2,langgraph-real-context_corruption-000,False,context_corruption,2.0,7,5.0,true_alarm,3.0,1.0,0.16666666666666666
langgraph,langgraph7b_real2,langgraph-real-looping-003,False,looping,3.0,9,5.0,true_alarm,2.0,3.0,0.375
langgraph,langgraph7b_real2,langgraph-real-goal_drift-003,False,goal_drift,3.0,7,,miss,,,
langgraph,langgraph7b_real2,langgraph-real-goal_drift-005,False,goal_drift,3.0,8,,miss,,,
langgraph,langgraph7b_real2,langgraph-real-goal_drift-002,False,goal_drift,3.0,7,6.0,true_alarm,3.0,0.0,0.0
langgraph,langgraph7b_real2,langgraph-real-context_corruption-002,False,context_corruption,3.0,5,,miss,,,
langgraph,langgraph7b_real2,langgraph-real-context_corruption-005,False,context_corruption,3.0,11,5.0,true_alarm,2.0,5.0,0.5
langgraph,langgraph7b_real2,langgraph-real-tool_cascade-004,False,tool_cascade,3.0,6,5.0,true_alarm,2.0,0.0,0.0
langgraph,langgraph7b_real2,langgraph-real-goal_drift-001,False,goal_drift,3.0,7,,miss,,,
langgraph,langgraph7b_real2,langgraph-real-context_corruption-004,False,context_corruption,2.0,6,5.0,true_alarm,3.0,0.0,0.0
autogen,autogen7b_real2,autogen-real-healthy-081,True,,,7,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-027,True,,,9,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-118,True,,,3,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-112,True,,,5,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-026,True,,,2,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-119,True,,,7,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-021,True,,,11,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-094,True,,,4,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-029,True,,,8,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-078,True,,,4,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-086,True,,,4,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-012,True,,,5,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-092,True,,,4,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-107,True,,,7,5.0,false_alarm,,,
autogen,autogen7b_real2,autogen-real-healthy-050,True,,,5,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-005,True,,,7,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-051,True,,,7,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-069,True,,,7,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-041,True,,,10,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-100,True,,,5,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-001,True,,,9,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-098,True,,,6,3.0,false_alarm,,,
autogen,autogen7b_real2,autogen-real-healthy-083,True,,,12,,correct_silence,,,
autogen,autogen7b_real2,autogen-real-healthy-091,True,,,12,8.0,false_alarm,,,
autogen,autogen7b_real2,autogen-real-context_corruption-004,False,context_corruption,2.0,4,3.0,true_alarm,1.0,0.0,0.0
autogen,autogen7b_real2,autogen-real-goal_drift-005,False,goal_drift,2.0,5,3.0,true_alarm,1.0,1.0,0.25
autogen,autogen7b_real2,autogen-real-goal_drift-000,False,goal_drift,3.0,5,3.0,true_alarm,0.0,1.0,0.25
autogen,autogen7b_real2,autogen-real-context_corruption-003,False,context_corruption,2.0,10,3.0,true_alarm,1.0,6.0,0.6666666666666666
autogen,autogen7b_real2,autogen-real-tool_cascade-001,False,tool_cascade,4.0,6,5.0,true_alarm,1.0,0.0,0.0
autogen,autogen7b_real2,autogen-real-goal_drift-004,False,goal_drift,2.0,4,,miss,,,
autogen,autogen7b_real2,autogen-real-tool_cascade-005,False,tool_cascade,2.0,7,3.0,true_alarm,1.0,3.0,0.5
autogen,autogen7b_real2,autogen-real-tool_cascade-003,False,tool_cascade,4.0,8,5.0,true_alarm,1.0,2.0,0.2857142857142857
autogen,autogen7b_real2,autogen-real-tool_cascade-004,False,tool_cascade,2.0,5,3.0,true_alarm,1.0,1.0,0.25
autogen,autogen7b_real2,autogen-real-goal_drift-001,False,goal_drift,3.0,8,6.0,true_alarm,3.0,1.0,0.14285714285714285
autogen,autogen7b_real2,autogen-real-looping-004,False,looping,2.0,5,3.0,true_alarm,1.0,1.0,0.25
autogen,autogen7b_real2,autogen-real-looping-002,False,looping,3.0,12,4.0,true_alarm,1.0,7.0,0.6363636363636364
autogen,autogen7b_real2,autogen-real-context_corruption-000,False,context_corruption,2.0,4,3.0,true_alarm,1.0,0.0,0.0
