dataset,episode_id,label,peak,alarmed,evidence
organic_demo7b_cold,organic-demo-000,healthy,2.131,True,total 2415.0 == truth
organic_demo7b_cold,organic-demo-003,healthy,0.22,False,total 2468.0 == truth
organic_demo7b_cold,organic-demo-004,healthy,1.172,True,total 1630.0 == truth
organic_demo7b_cold,organic-demo-005,healthy,0.24,False,total 1730.0 == truth
organic_demo7b_cold,organic-demo-006,healthy,0.371,False,total 3600.0 == truth
organic_demo7b_cold,organic-demo-007,healthy,1.332,True,total 2230.0 == truth
organic_demo7b_cold,organic-demo-008,healthy,0.216,False,total 3747.0 == truth
organic_demo7b_cold,organic-demo-009,healthy,0.946,False,total 2098.0 == truth
organic_demo7b_cold,organic-demo-011,healthy,0.229,False,total 2764.0 == truth
organic_demo7b_cold,organic-demo-012,healthy,0.225,False,total 3339.0 == truth
organic_demo7b_cold,organic-demo-013,healthy,10.878,True,total 2310.0 == truth
organic_demo7b_cold,organic-demo-014,healthy,0.228,False,total 2520.0 == truth
organic_demo7b_cold,organic-demo-020,healthy,0.228,False,total 2677.0 == truth
organic_demo7b_cold,organic-demo-021,healthy,0.223,False,total 4520.0 == truth
organic_demo7b_cold,organic-demo-023,healthy,0.22,False,total 2300.0 == truth
organic_demo7b_cold,organic-demo-024,healthy,0.228,False,total 2764.0 == truth
organic_demo7b_cold,organic-demo-025,healthy,0.216,False,total 3747.0 == truth
organic_demo7b_cold,organic-demo-026,healthy,0.389,False,total 2661.0 == truth
organic_demo7b_cold,organic-demo-027,healthy,1.544,True,total 2473.0 == truth
organic_demo7b_cold,organic-demo-030,healthy,0.223,False,total 3487.0 == truth
organic_demo7b_cold,organic-demo-031,healthy,0.243,False,total 3300.0 == truth
organic_demo7b_cold,organic-demo-034,healthy,1.378,True,total 2346.0 == truth
organic_demo7b_cold,organic-demo-036,healthy,0.552,False,total 3133.0 == truth
organic_demo7b_cold,organic-demo-037,healthy,0.237,False,total 2863.0 == truth
organic_demo7b_cold,organic-demo-038,healthy,0.156,False,total 2582.0 == truth
organic_demo7b_cold,organic-demo-040,healthy,0.307,False,total 3120.0 == truth
organic_demo7b_cold,organic-demo-041,healthy,0.186,False,total 3615.0 == truth
organic_demo7b_cold,organic-demo-042,healthy,3.067,True,total 2976.0 == truth
organic_demo7b_cold,organic-demo-043,healthy,0.236,False,total 3978.0 == truth
organic_demo7b_cold,organic-demo-050,healthy,0.537,False,total 4053.0 == truth
organic_demo7b_cold,organic-demo-052,healthy,0.216,False,total 2528.0 == truth
organic_demo7b_cold,organic-demo-053,healthy,0.22,False,total 3552.0 == truth
organic_demo7b_cold,organic-demo-056,healthy,1.129,True,total 2555.0 == truth
organic_demo7b_cold,organic-demo-058,healthy,0.927,False,total 3635.0 == truth
organic_demo7b_cold,organic-demo-059,healthy,1.19,True,total 4065.0 == truth
organic_demo7b_cold,organic-demo-060,healthy,0.258,False,total 3756.0 == truth
organic_demo7b_cold,organic-demo-061,healthy,0.255,False,total 2666.0 == truth
organic_demo7b_cold,organic-demo-065,healthy,0.228,False,total 1994.0 == truth
organic_demo7b_cold,organic-demo-066,healthy,1.504,True,total 3456.0 == truth
organic_demo7b_cold,organic-demo-070,healthy,0.452,False,total 3393.0 == truth
organic_demo7b_cold,organic-demo-075,healthy,0.228,False,total 2146.0 == truth
organic_demo7b_cold,organic-demo-076,healthy,0.156,False,total 2496.0 == truth
organic_demo7b_cold,organic-demo-077,healthy,0.233,False,total 3144.0 == truth
organic_demo7b_cold,organic-demo-080,healthy,0.679,False,total 3706.0 == truth
organic_demo7b_cold,organic-demo-083,healthy,0.855,False,total 3264.0 == truth
organic_demo7b_cold,organic-demo-085,healthy,0.223,False,total 3809.0 == truth
organic_demo7b_cold,organic-demo-088,healthy,0.512,False,total 2420.0 == truth
organic_demo7b_cold,organic-demo-090,healthy,0.216,False,total 3063.0 == truth
organic_demo7b_cold,organic-demo-095,healthy,0.228,False,total 2147.0 == truth
organic_demo7b_cold,organic-demo-097,healthy,0.336,False,total 2969.0 == truth
organic_demo7b_cold,organic-demo-099,healthy,0.241,False,total 2850.0 == truth
organic_demo7b_cold,organic-demo-100,healthy,1.061,True,total 2916.0 == truth
organic_demo7b_cold,organic-demo-101,healthy,0.319,False,total 3289.0 == truth
organic_demo7b_cold,organic-demo-102,healthy,0.209,False,total 3251.0 == truth
organic_demo7b_cold,organic-demo-104,healthy,0.375,False,total 3119.0 == truth
organic_demo7b_cold,organic-demo-105,healthy,0.221,False,total 3012.0 == truth
organic_demo7b_cold,organic-demo-107,healthy,0.223,False,total 3768.0 == truth
organic_demo7b_cold,organic-demo-109,healthy,0.378,False,total 2164.0 == truth
organic_demo7b_cold,organic-demo-110,healthy,0.665,False,total 2484.0 == truth
organic_demo7b_cold,organic-demo-112,healthy,0.194,False,total 3220.0 == truth
