dataset,episode_id,label,total_consistency,required_coverage
organic_llama8b_cold,organic-demo-000,other,True,False
organic_llama8b_cold,organic-demo-001,hallucinated,True,False
organic_llama8b_cold,organic-demo-002,other,True,False
organic_llama8b_cold,organic-demo-003,hallucinated,True,False
organic_llama8b_cold,organic-demo-004,healthy,False,False
organic_llama8b_cold,organic-demo-005,other,True,False
organic_llama8b_cold,organic-demo-006,other,True,False
organic_llama8b_cold,organic-demo-007,other,True,False
organic_llama8b_cold,organic-demo-008,other,True,False
organic_llama8b_cold,organic-demo-009,other,True,False
organic_llama8b_cold,organic-demo-010,other,True,False
organic_llama8b_cold,organic-demo-011,hallucinated,True,False
organic_llama8b_cold,organic-demo-012,other,True,False
organic_llama8b_cold,organic-demo-013,hallucinated,True,False
organic_llama8b_cold,organic-demo-014,hallucinated,True,False
organic_llama8b_cold,organic-demo-015,other,True,False
organic_llama8b_cold,organic-demo-016,other,True,False
organic_llama8b_cold,organic-demo-017,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-018,healthy,False,False
organic_llama8b_cold,organic-demo-019,hallucinated,True,True
organic_llama8b_cold,organic-demo-020,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-021,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-022,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-023,other,True,False
organic_llama8b_cold,organic-demo-024,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-025,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-026,other,True,False
organic_llama8b_cold,organic-demo-027,hallucinated,True,False
organic_llama8b_cold,organic-demo-028,healthy,False,False
organic_llama8b_cold,organic-demo-029,hallucinated,True,False
organic_llama8b_cold,organic-demo-030,hallucinated,True,True
organic_llama8b_cold,organic-demo-031,other,True,False
organic_llama8b_cold,organic-demo-032,other,True,False
organic_llama8b_cold,organic-demo-033,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-034,healthy,False,False
organic_llama8b_cold,organic-demo-035,other,True,False
organic_llama8b_cold,organic-demo-036,other,True,False
organic_llama8b_cold,organic-demo-037,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-038,other,True,False
organic_llama8b_cold,organic-demo-039,hallucinated,True,True
organic_llama8b_cold,organic-demo-040,hallucinated,True,False
organic_llama8b_cold,organic-demo-041,hallucinated,True,False
organic_llama8b_cold,organic-demo-042,hallucinated,True,True
organic_llama8b_cold,organic-demo-043,other,True,False
organic_llama8b_cold,organic-demo-044,healthy,False,False
organic_llama8b_cold,organic-demo-045,other,True,False
organic_llama8b_cold,organic-demo-046,other,True,True
organic_llama8b_cold,organic-demo-047,other,True,False
organic_llama8b_cold,organic-demo-048,other,True,False
organic_llama8b_cold,organic-demo-049,hallucinated,True,False
organic_llama8b_cold,organic-demo-050,other,True,False
organic_llama8b_cold,organic-demo-051,other,True,False
organic_llama8b_cold,organic-demo-052,other,True,False
organic_llama8b_cold,organic-demo-053,other,True,False
organic_llama8b_cold,organic-demo-054,hallucinated,True,False
organic_llama8b_cold,organic-demo-055,hallucinated,True,False
organic_llama8b_cold,organic-demo-056,hallucinated,True,False
organic_llama8b_cold,organic-demo-057,other,True,False
organic_llama8b_cold,organic-demo-058,other,True,False
organic_llama8b_cold,organic-demo-059,other,True,False
organic_llama8b_cold,organic-demo-060,hallucinated,True,False
organic_llama8b_cold,organic-demo-061,other,True,True
organic_llama8b_cold,organic-demo-062,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-063,other,True,False
organic_llama8b_cold,organic-demo-064,other,True,False
organic_llama8b_cold,organic-demo-065,hallucinated,True,True
organic_llama8b_cold,organic-demo-066,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-067,other,True,True
organic_llama8b_cold,organic-demo-068,hallucinated,True,True
organic_llama8b_cold,organic-demo-069,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-070,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-071,hallucinated,True,True
organic_llama8b_cold,organic-demo-072,other,True,False
organic_llama8b_cold,organic-demo-073,other,True,False
organic_llama8b_cold,organic-demo-074,hallucinated,True,False
organic_llama8b_cold,organic-demo-075,other,True,False
organic_llama8b_cold,organic-demo-076,hallucinated,True,False
organic_llama8b_cold,organic-demo-077,arithmetic_error,True,True
organic_llama8b_cold,organic-demo-078,hallucinated,True,False
organic_llama8b_cold,organic-demo-079,healthy,False,False
organic_llama8b_cold,organic-demo-080,hallucinated,True,False
organic_llama8b_cold,organic-demo-081,other,True,False
organic_llama8b_cold,organic-demo-082,other,True,False
organic_llama8b_cold,organic-demo-083,healthy,False,False
organic_llama8b_cold,organic-demo-084,other,True,False
organic_llama8b_cold,organic-demo-085,other,True,False
organic_llama8b_cold,organic-demo-086,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-087,other,True,False
organic_llama8b_cold,organic-demo-088,hallucinated,True,False
organic_llama8b_cold,organic-demo-089,arithmetic_error,True,True
organic_llama8b_cold,organic-demo-090,hallucinated,True,False
organic_llama8b_cold,organic-demo-091,hallucinated,True,False
organic_llama8b_cold,organic-demo-092,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-093,other,True,False
organic_llama8b_cold,organic-demo-094,hallucinated,True,True
organic_llama8b_cold,organic-demo-095,hallucinated,True,True
organic_llama8b_cold,organic-demo-096,hallucinated,True,True
organic_llama8b_cold,organic-demo-097,hallucinated,True,True
organic_llama8b_cold,organic-demo-098,other,True,False
organic_llama8b_cold,organic-demo-099,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-100,other,True,False
organic_llama8b_cold,organic-demo-101,healthy,False,False
organic_llama8b_cold,organic-demo-102,healthy,False,False
organic_llama8b_cold,organic-demo-103,other,True,False
organic_llama8b_cold,organic-demo-104,healthy,False,False
organic_llama8b_cold,organic-demo-105,arithmetic_error,True,False
organic_llama8b_cold,organic-demo-106,hallucinated,True,True
organic_llama8b_cold,organic-demo-107,other,True,False
organic_llama8b_cold,organic-demo-108,hallucinated,True,False
organic_llama8b_cold,organic-demo-109,other,True,False
organic_llama8b_cold,organic-demo-110,other,True,False
organic_llama8b_cold,organic-demo-111,arithmetic_error,True,True
organic_llama8b_cold,organic-demo-112,hallucinated,True,False
organic_llama8b_cold,organic-demo-113,other,True,False
organic_llama8b_cold,organic-demo-114,other,True,False
organic_llama8b_cold,organic-demo-115,hallucinated,True,False
organic_llama8b_cold,organic-demo-116,other,True,False
organic_llama8b_cold,organic-demo-117,hallucinated,True,False
organic_llama8b_cold,organic-demo-118,other,True,False
organic_llama8b_cold,organic-demo-119,arithmetic_error,True,False
