dataset,episode_id,failure_class,T,tau,horizon,det_esn,det_maha,det_logistic
real_gemini_long,real-looping-000,looping,5,2,2,False,False,False
real_gemini_long,real-looping-001,looping,24,2,21,True,True,True
real_gemini_long,real-looping-002,looping,17,2,14,True,True,True
real_gemini_long,real-looping-003,looping,24,2,21,True,False,True
real_gemini_long,real-looping-005,looping,11,2,8,True,False,True
real_gemini_long,real-looping-007,looping,24,2,21,True,True,True
real_gemini_long,real-looping-008,looping,7,2,4,False,False,False
real_gemini_long,real-looping-009,looping,7,2,4,False,False,False
real_gemini_long,real-looping-010,looping,11,2,8,True,False,True
real_gemini_long,real-looping-011,looping,7,2,4,True,False,True
real_gemini_long,real-looping-012,looping,7,2,4,False,False,False
real_gemini_long,real-looping-013,looping,7,2,4,False,False,False
real_gemini_long,real-tool_cascade-002,tool_cascade,11,5,5,False,False,False
real_gemini_long,real-tool_cascade-005,tool_cascade,6,3,2,False,False,False
real_gemini_long,real-tool_cascade-008,tool_cascade,7,2,4,False,False,False
real_gemini_long,real-tool_cascade-009,tool_cascade,7,3,3,False,False,False
real_gemini_long,real-tool_cascade-010,tool_cascade,11,3,7,True,False,False
real_gemini_long,real-tool_cascade-012,tool_cascade,6,2,3,False,False,False
real_gemini_long,real-rate_limit-002,rate_limit,18,2,15,True,False,True
real_gemini_long,real-rate_limit-005,rate_limit,24,4,19,True,False,True
real_gemini_long,real-rate_limit-007,rate_limit,5,3,1,False,False,False
real_gemini_long,real-rate_limit-008,rate_limit,7,3,3,False,False,False
real_gemini_long,real-rate_limit-009,rate_limit,5,3,1,False,False,False
real_gemini_long,real-rate_limit-010,rate_limit,11,2,8,True,False,True
real_gemini_long,real-rate_limit-013,rate_limit,7,3,3,False,False,False
real_gemini_long,real-timeout-000,timeout,23,2,20,True,True,True
real_gemini_long,real-timeout-001,timeout,7,3,3,False,False,False
real_gemini_long,real-timeout-002,timeout,12,2,9,True,False,True
real_gemini_long,real-timeout-005,timeout,10,2,7,True,False,True
real_gemini_long,real-timeout-007,timeout,5,3,1,False,False,False
real_gemini_long,real-timeout-008,timeout,8,2,5,False,False,False
real_gemini_long,real-timeout-009,timeout,9,3,5,False,False,False
real_gemini_long,real-timeout-010,timeout,10,2,7,True,False,True
