dataset,episode_id,failure_class,is_content,det_esn_cusum_max,det_delta_mahalanobis,det_hybrid_weighted50,det_grounding,det_hybrid_weighted_g,det_hybrid_content_gate,det_hybrid_adaptive,det_hybrid_logistic,det_hybrid_logistic_g,det_joint_budget
gemini,real-tool_cascade-001,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-002,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-003,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-006,tool_cascade,False,False,False,False,False,False,False,False,False,False,False
gemini,real-tool_cascade-007,tool_cascade,False,False,True,False,False,False,False,False,False,False,False
gemini,real-tool_cascade-008,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-009,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-010,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-011,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-012,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-014,tool_cascade,False,False,False,False,False,False,False,False,False,False,False
gemini,real-tool_cascade-015,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-016,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-017,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-018,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-019,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-021,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-tool_cascade-023,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-000,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-003,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-005,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-006,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-007,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-010,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-011,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-012,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-013,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-014,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-015,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-016,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-018,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-020,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-021,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-022,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-023,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-looping-024,looping,False,True,True,True,False,True,True,True,True,True,True
gemini,real-goal_drift-000,goal_drift,False,True,True,True,False,True,True,True,True,True,True
gemini,real-goal_drift-001,goal_drift,False,True,True,True,False,True,True,True,True,True,True
gemini,real-goal_drift-002,goal_drift,False,False,False,False,False,False,False,False,False,False,False
gemini,real-goal_drift-003,goal_drift,False,True,False,True,False,True,True,True,True,True,True
gemini,real-goal_drift-004,goal_drift,False,True,True,True,False,True,True,True,True,True,True
gemini,real-goal_drift-005,goal_drift,False,True,False,True,False,True,True,True,True,True,True
gemini,real-goal_drift-006,goal_drift,False,True,False,True,False,True,True,True,True,True,True
gemini,real-goal_drift-007,goal_drift,False,True,False,True,False,True,True,True,True,True,True
gemini,real-goal_drift-008,goal_drift,False,False,False,False,False,False,False,False,False,False,False
gemini,real-goal_drift-009,goal_drift,False,True,True,True,False,True,True,True,True,True,True
gemini,real-goal_drift-010,goal_drift,False,False,False,False,False,False,False,False,False,False,False
gemini,real-goal_drift-011,goal_drift,False,False,False,False,False,False,False,False,False,False,False
gemini,real-goal_drift-013,goal_drift,False,True,False,True,False,True,True,True,True,True,True
gemini,real-goal_drift-014,goal_drift,False,True,True,True,False,True,True,True,True,True,True
gemini,real-goal_drift-016,goal_drift,False,True,True,True,False,True,True,True,True,True,True
gemini,real-goal_drift-018,goal_drift,False,False,False,False,False,False,False,False,False,False,False
gemini,real-goal_drift-019,goal_drift,False,True,True,True,False,True,True,True,True,True,True
gemini,real-goal_drift-020,goal_drift,False,True,True,True,False,True,True,True,True,True,True
gemini,real-goal_drift-021,goal_drift,False,True,False,True,False,True,True,True,True,True,True
gemini,real-goal_drift-022,goal_drift,False,False,False,False,False,False,False,False,False,False,False
gemini,real-goal_drift-023,goal_drift,False,True,False,True,False,True,True,True,True,True,True
gemini,real-goal_drift-024,goal_drift,False,True,True,True,False,True,True,True,True,True,True
gemini,real-context_corruption-000,context_corruption,True,True,False,True,False,True,True,True,True,True,True
gemini,real-context_corruption-001,context_corruption,True,True,False,True,False,True,True,True,False,False,True
gemini,real-context_corruption-003,context_corruption,True,False,False,False,False,False,False,False,False,False,False
gemini,real-context_corruption-004,context_corruption,True,True,True,True,False,True,True,True,True,True,True
gemini,real-context_corruption-005,context_corruption,True,True,False,True,False,True,True,True,True,True,True
gemini,real-context_corruption-006,context_corruption,True,True,False,True,False,True,True,True,True,True,True
gemini,real-context_corruption-008,context_corruption,True,False,True,False,False,False,False,False,False,False,False
gemini,real-context_corruption-009,context_corruption,True,False,False,False,False,False,False,False,False,False,False
gemini,real-context_corruption-010,context_corruption,True,False,False,False,False,False,False,False,False,False,False
gemini,real-context_corruption-011,context_corruption,True,False,False,False,False,False,False,False,False,False,False
gemini,real-context_corruption-012,context_corruption,True,False,False,False,False,False,False,False,False,False,False
gemini,real-context_corruption-013,context_corruption,True,False,False,False,False,False,False,False,False,False,False
gemini,real-context_corruption-014,context_corruption,True,False,False,False,False,False,False,False,False,False,False
gemini,real-context_corruption-015,context_corruption,True,True,False,True,False,True,True,True,True,True,True
gemini,real-context_corruption-016,context_corruption,True,False,False,False,False,False,False,False,False,False,False
gemini,real-context_corruption-017,context_corruption,True,True,False,True,False,True,True,True,True,False,True
gemini,real-context_corruption-018,context_corruption,True,False,False,False,False,False,False,False,False,False,False
gemini,real-context_corruption-019,context_corruption,True,False,False,False,False,False,False,False,False,False,False
gemini,real-context_corruption-020,context_corruption,True,False,False,False,False,False,False,False,False,False,False
gemini,real-context_corruption-022,context_corruption,True,False,True,False,False,False,False,False,False,False,False
gemini,real-context_corruption-024,context_corruption,True,False,False,False,False,False,False,False,False,False,False
autogen7b,autogen-tool_cascade-005,tool_cascade,False,True,False,True,False,True,True,True,False,False,True
autogen7b,autogen-tool_cascade-006,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-tool_cascade-008,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-tool_cascade-012,tool_cascade,False,True,False,True,False,True,True,True,False,False,True
autogen7b,autogen-tool_cascade-013,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-tool_cascade-014,tool_cascade,False,True,False,True,False,True,True,True,False,False,True
autogen7b,autogen-tool_cascade-015,tool_cascade,False,True,False,True,False,True,True,True,False,False,True
autogen7b,autogen-tool_cascade-017,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-tool_cascade-018,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-tool_cascade-019,tool_cascade,False,True,False,True,False,True,True,True,False,False,True
autogen7b,autogen-tool_cascade-020,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-tool_cascade-023,tool_cascade,False,True,True,True,False,True,True,True,False,False,True
autogen7b,autogen-tool_cascade-025,tool_cascade,False,True,False,True,False,True,True,True,True,True,True
autogen7b,autogen-tool_cascade-026,tool_cascade,False,True,True,True,False,True,True,True,False,False,True
autogen7b,autogen-tool_cascade-027,tool_cascade,False,True,False,True,False,True,True,True,False,False,True
autogen7b,autogen-tool_cascade-030,tool_cascade,False,True,True,True,False,True,True,True,False,False,True
autogen7b,autogen-tool_cascade-031,tool_cascade,False,True,False,True,False,True,True,True,False,False,True
autogen7b,autogen-tool_cascade-032,tool_cascade,False,True,False,True,False,True,True,True,False,False,True
autogen7b,autogen-tool_cascade-034,tool_cascade,False,True,False,True,False,True,True,True,False,False,True
autogen7b,autogen-tool_cascade-035,tool_cascade,False,True,True,True,True,True,True,True,True,True,True
autogen7b,autogen-looping-000,looping,False,True,True,True,True,True,True,True,True,True,True
autogen7b,autogen-looping-001,looping,False,True,True,True,True,True,True,True,True,True,True
autogen7b,autogen-looping-002,looping,False,False,False,False,False,False,True,True,False,False,False
autogen7b,autogen-looping-003,looping,False,True,True,True,True,True,True,True,True,True,True
autogen7b,autogen-looping-004,looping,False,True,False,True,True,True,True,True,False,False,True
autogen7b,autogen-looping-005,looping,False,False,False,False,False,False,True,True,False,False,False
autogen7b,autogen-looping-006,looping,False,False,True,False,False,False,True,True,True,False,False
autogen7b,autogen-looping-007,looping,False,False,False,False,False,False,True,True,False,False,False
autogen7b,autogen-looping-008,looping,False,True,True,True,True,True,True,True,True,True,True
autogen7b,autogen-looping-009,looping,False,False,False,False,True,False,True,True,False,False,False
autogen7b,autogen-looping-011,looping,False,True,True,True,True,True,True,True,True,True,True
autogen7b,autogen-looping-012,looping,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-looping-013,looping,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-looping-014,looping,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-looping-015,looping,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-looping-016,looping,False,False,False,False,False,False,True,True,False,False,False
autogen7b,autogen-looping-017,looping,False,True,True,True,True,True,True,True,True,True,True
autogen7b,autogen-looping-018,looping,False,False,False,False,False,False,True,True,False,False,False
autogen7b,autogen-looping-019,looping,False,True,True,True,True,True,True,True,False,True,True
autogen7b,autogen-looping-020,looping,False,True,True,True,False,True,True,True,False,False,True
autogen7b,autogen-looping-021,looping,False,False,False,False,False,False,True,True,False,False,False
autogen7b,autogen-looping-022,looping,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-looping-023,looping,False,False,True,False,False,False,True,True,True,False,False
autogen7b,autogen-looping-024,looping,False,False,False,False,True,False,True,True,False,False,False
autogen7b,autogen-looping-025,looping,False,True,True,True,False,True,True,True,True,False,True
autogen7b,autogen-looping-026,looping,False,True,True,True,True,True,True,True,True,True,True
autogen7b,autogen-looping-027,looping,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-looping-028,looping,False,True,True,True,True,True,True,True,True,True,True
autogen7b,autogen-looping-029,looping,False,True,True,True,False,True,True,True,True,True,True
autogen7b,autogen-looping-030,looping,False,False,False,False,False,False,True,True,False,False,False
autogen7b,autogen-looping-031,looping,False,True,True,True,True,True,True,True,True,True,True
autogen7b,autogen-looping-032,looping,False,False,False,False,False,False,True,True,False,False,False
autogen7b,autogen-looping-033,looping,False,False,False,False,True,False,True,True,False,False,False
