dataset,episode_id,failure_class,t,onset,label,verdict,prompt_key
ollama7b,real-looping-011,looping,2,2,1,0,ba6dad1350d9
ollama7b,real-context_corruption-001,context_corruption,3,3,1,0,a57acce7dc5d
ollama7b,real-looping-013,looping,2,2,1,0,c2fba3715b0c
ollama7b,real-goal_drift-007,goal_drift,4,2,1,1,b484a335f01d
ollama7b,real-context_corruption-002,context_corruption,6,3,1,1,d2d287aa0f2d
ollama7b,real-context_corruption-020,context_corruption,4,3,1,0,fcd59d214de2
ollama7b,real-context_corruption-019,context_corruption,3,3,1,0,1c2ccebd7c8a
ollama7b,real-context_corruption-016,context_corruption,2,2,1,0,d9e60ae7af17
ollama7b,real-tool_cascade-021,tool_cascade,4,3,1,1,0eb2734d7e01
ollama7b,real-context_corruption-023,context_corruption,3,2,1,0,a0f8796cac32
ollama7b,real-context_corruption-008,context_corruption,4,4,1,0,756d67022bf2
ollama7b,real-looping-001,looping,3,3,1,0,db140885d5a4
ollama7b,real-goal_drift-008,goal_drift,5,2,1,1,5a8aabbba6b1
ollama7b,real-looping-021,looping,3,2,1,1,1826e4f67339
ollama7b,real-context_corruption-018,context_corruption,5,3,1,0,dfbe3e40ba0a
ollama7b,real-context_corruption-012,context_corruption,4,2,1,1,e3d0e5950d5c
ollama7b,real-goal_drift-017,goal_drift,3,3,1,1,3945368b96dc
ollama7b,real-tool_cascade-008,tool_cascade,5,2,1,1,373648b3b0f4
ollama7b,real-context_corruption-014,context_corruption,4,3,1,1,b5e2a51c870c
ollama7b,real-goal_drift-010,goal_drift,4,3,1,1,f91c880b31a0
ollama7b,real-looping-015,looping,3,3,1,0,52f4772c43b3
ollama7b,real-tool_cascade-002,tool_cascade,3,3,1,0,5c525015240e
ollama7b,real-goal_drift-020,goal_drift,3,3,1,1,d5c9ac5fc24b
ollama7b,real-context_corruption-021,context_corruption,2,2,1,0,2293068b1968
ollama7b,real-context_corruption-022,context_corruption,5,3,1,0,03fbe9397bfb
ollama7b,real-goal_drift-002,goal_drift,3,2,1,1,48b565906fc7
ollama7b,real-goal_drift-009,goal_drift,5,2,1,1,8c67258a388d
ollama7b,real-looping-018,looping,3,2,1,1,bcd548a8730e
ollama7b,real-looping-016,looping,6,2,1,1,d845dde14261
ollama7b,real-goal_drift-005,goal_drift,5,3,1,1,6bf17ee63ccb
ollama7b,real-tool_cascade-009,tool_cascade,4,2,1,0,e25df57df4c9
ollama7b,real-looping-022,looping,3,3,1,0,52f4772c43b3
