dataset,episode_id,failure_class,is_content,det_esn_cusum_max,det_delta_mahalanobis,det_hybrid_weighted50,det_grounding,det_hybrid_weighted_g,det_hybrid_content_gate,det_hybrid_adaptive,det_hybrid_logistic,det_hybrid_logistic_g,det_dual_budget
langgraph7b,langgraph-tool_cascade-000,tool_cascade,False,True,False,False,False,False,False,False,True,False,False
langgraph7b,langgraph-tool_cascade-001,tool_cascade,False,True,False,False,False,False,False,False,True,True,False
langgraph7b,langgraph-tool_cascade-002,tool_cascade,False,True,True,True,False,True,True,True,True,False,True
langgraph7b,langgraph-tool_cascade-003,tool_cascade,False,True,False,False,False,False,False,False,True,True,False
langgraph7b,langgraph-tool_cascade-004,tool_cascade,False,True,True,True,False,True,True,True,True,False,True
langgraph7b,langgraph-tool_cascade-005,tool_cascade,False,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-tool_cascade-006,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
langgraph7b,langgraph-tool_cascade-007,tool_cascade,False,True,True,True,False,True,True,True,True,False,True
langgraph7b,langgraph-tool_cascade-008,tool_cascade,False,False,False,False,False,False,False,False,True,True,False
langgraph7b,langgraph-tool_cascade-009,tool_cascade,False,True,False,False,False,False,False,False,True,True,False
langgraph7b,langgraph-tool_cascade-010,tool_cascade,False,True,True,True,False,True,True,True,True,False,True
langgraph7b,langgraph-tool_cascade-011,tool_cascade,False,True,False,False,False,False,False,False,True,False,False
langgraph7b,langgraph-looping-000,looping,False,True,True,True,False,True,True,True,True,False,True
langgraph7b,langgraph-looping-001,looping,False,True,True,True,False,True,True,True,True,True,True
langgraph7b,langgraph-looping-002,looping,False,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-looping-003,looping,False,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-looping-004,looping,False,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-looping-005,looping,False,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-looping-006,looping,False,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-looping-007,looping,False,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-looping-008,looping,False,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-looping-009,looping,False,False,False,False,False,False,False,False,True,False,False
langgraph7b,langgraph-looping-010,looping,False,True,True,True,False,True,True,True,True,True,True
langgraph7b,langgraph-looping-011,looping,False,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-context_corruption-000,context_corruption,True,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-context_corruption-001,context_corruption,True,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-context_corruption-002,context_corruption,True,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-context_corruption-003,context_corruption,True,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-context_corruption-004,context_corruption,True,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-context_corruption-005,context_corruption,True,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-context_corruption-006,context_corruption,True,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-context_corruption-007,context_corruption,True,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-context_corruption-008,context_corruption,True,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-context_corruption-009,context_corruption,True,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-context_corruption-010,context_corruption,True,False,False,False,False,False,False,False,False,False,False
langgraph7b,langgraph-context_corruption-011,context_corruption,True,False,False,False,False,False,False,False,False,False,False
real_research7b,real-looping-000,looping,False,False,True,False,False,True,True,True,True,True,True
real_research7b,real-looping-001,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-002,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-003,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-004,looping,False,False,True,True,False,True,True,True,True,True,True
real_research7b,real-looping-005,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-006,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-007,looping,False,False,True,True,True,True,True,True,True,True,True
real_research7b,real-looping-008,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-009,looping,False,False,True,True,True,True,True,True,True,True,True
real_research7b,real-looping-010,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-011,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-012,looping,False,False,True,True,True,True,True,True,True,True,True
real_research7b,real-looping-013,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-014,looping,False,True,True,True,True,True,True,True,True,True,True
real_research7b,real-looping-015,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-016,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-017,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-018,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-019,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-020,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-looping-021,looping,False,False,True,False,True,True,True,True,True,True,True
real_research7b,real-tool_cascade-000,tool_cascade,False,True,False,True,False,True,True,True,False,False,True
real_research7b,real-tool_cascade-001,tool_cascade,False,False,False,False,False,False,False,False,False,False,False
real_research7b,real-tool_cascade-002,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
real_research7b,real-tool_cascade-003,tool_cascade,False,True,True,True,False,True,True,True,True,True,True
real_research7b,real-tool_cascade-004,tool_cascade,False,True,True,True,True,True,True,True,True,True,True
real_research7b,real-tool_cascade-005,tool_cascade,False,False,False,False,False,False,False,False,False,False,False
